Energy Savings Regressions,None,None_1,None_2,None_3,None_4,None_5,Regression Form (a+bx+cx^2),None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75,None_76,None_77
,,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Notes/Assumptions,Heating Savings Curve Comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,SGS Type,Office Size,HVAC/Fuel Type,Fuel Type,Hours,a,b,c,a,b,c,,HDD,1 v 10,,% delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Double,Single,Large,VAV,Natural Gas,2080,0.0210814047191,4.12817383e-05,-1.5477e-09,1.5493838764825,0.0009156790468,-9.29136e-08,,3000,=$H$6+$I$6*O37+$J$6*O37^2,=$H$15+$I$15*O37+$J$15*O37^2,=(P37-Q37)/P37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Double,Single,Large,VAV,Natural Gas,2912,0.0494865359195,4.55628586e-05,-1.0305e-09,1.5594199852179,0.0020586147562,-2.048639e-07,,4000,=$H$6+$I$6*O38+$J$6*O38^2,=$H$15+$I$15*O38+$J$15*O38^2,=(P38-Q38)/P38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Double,Single,Large,VAV,Natural Gas,8760,0.5567001440176,3.10694295e-05,-3.498e-10,2.211453250257,0.003671073438,-2.630677e-07,,5000,=$H$6+$I$6*O39+$J$6*O39^2,=$H$15+$I$15*O39+$J$15*O39^2,=(P39-Q39)/P39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6000,=$H$6+$I$6*O40+$J$6*O40^2,=$H$15+$I$15*O40+$J$15*O40^2,=(P40-Q40)/P40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Load Reduction Regressions,,,,,,,Regression Form (a+bx+cx^2),,,,,,,7000,=$H$6+$I$6*O41+$J$6*O41^2,=$H$15+$I$15*O41+$J$15*O41^2,=(P41-Q41)/P41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Baseline Cooling Load Coefficients,,,Cooling Coefficients,,,,8000,=$H$6+$I$6*O42+$J$6*O42^2,=$H$15+$I$15*O42+$J$15*O42^2,=(P42-Q42)/P42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,SGS Type,Office Size,HVAC System Type,Location,,a,b,c,a,b,c,,9000,=$H$6+$I$6*O43+$J$6*O43^2,=$H$15+$I$15*O43+$J$15*O43^2,=(P43-Q43)/P43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,Single,Mid,,,,19.793732016,0.0034282865,-3.153e-07,21.1474027966,0.0060444886,-5.603e-07, ,10000,=$H$6+$I$6*O44+$J$6*O44^2,=$H$15+$I$15*O44+$J$15*O44^2,=(P44-Q44)/P44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,Double,Mid,,,,19.793732016,0.0034282865,-3.153e-07,45.4061694125,0.0096501753,-8.115e-07,,11000,=$H$6+$I$6*O45+$J$6*O45^2,=$H$15+$I$15*O45+$J$15*O45^2,=(P45-Q45)/P45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Double,Single,Mid,,,,17.8041278194,0.0027898491,-2.34e-07,15.694426549,0.0034110821,-2.989e-07,,12000,=$H$6+$I$6*O46+$J$6*O46^2,=$H$15+$I$15*O46+$J$15*O46^2,=(P46-Q46)/P46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Single,Single,Large,,,,24.307269287,0.0023954098,-2.005e-07,19.9672953025,0.0070543284,-7.612e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Single,Double,Large,,,,24.307269287,0.0023954098,-2.005e-07,46.0265640868,0.0117868204,-1.1328e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,Single,Large,,,,23.0196938914,0.001584155,-7.35e-08,16.6363616488,0.0047085492,-5.485e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
