,,,,,,,,,"Electric Savings, kWh/SF",,"Gas Savings, therms/SF",,Regression_Done,,Base_EUI,CSW_EUI,Percent,Regression_Done,,Baseline Peak Cooling,Clg Load Reduced,Htg Load Reduced,Baseline Peak Cooling,Base Clg Load,CSW Ld Red,CSW Ld Red,CWS Clg Load,Regression_done,,Infil Savings Reduction Factors,,Cool Adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,CSW_Type,Building_Size,Building_Type,HVAC_System_Type,Fuel_Type,PTHP,Hours,Look-up_Conc,Electric_savings_Heat_kWhperSF,electric_savings_Cooling_and_Aux_kWhperSF,Gas_savings_Heat_thermsperSF,,,,Base_EUI_kBtuperSFperyr,CSW_EUI_kBtuperSFperyr,Percent,Regression_Done,,baseline_peak_cooling_BtuhperSF,Clg_Load_reduced_BtuhperSF,htg_load_reduced_BtuhperSF,baseline_peak_cooling_Btuh,base_cooling_load_Tons,CSW_ld_red_Btuh,csw_ld_red_Tons,CWS_Clg_load_Tons,,,infiltration_savings_reduction_factors_Heat,infiltration_reduction_factors_Cool,Cool_adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,SS,VAV,Electric,,,"=CONCATENATE(A88,B88,C88,D88,E88,F88,H88)",='Regresson List_SS'!G9+'Regresson List_SS'!H9*School!$C$23+'Regresson List_SS'!I9*School!$C$23^2,='Regresson List_SS'!J9+'Regresson List_SS'!K9*School!$C$24+'Regresson List_SS'!L9*School!$C$24^2,0,,Y,,='Regresson List_SS'!G31+'Regresson List_SS'!H31*School!$C$23+'Regresson List_SS'!I31*School!$C$23^2,=P88-School!$F$35,=1-(Q88/P88),Y,,=U85,=V85,,=U88*School!$F$18,=X88/12000,=V88*School!$F$27,=Z88/12000,=Y88-AA88,Y,,,,=AG92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,SS,FCU,Natural Gas,,,"=CONCATENATE(A89,B89,C89,D89,E89,F89,H89)",0,=K83,='Regresson List_SS'!G10+'Regresson List_SS'!H10*School!$C$23+'Regresson List_SS'!I10*School!$C$23^2,,Y,,='Regresson List_SS'!G36+'Regresson List_SS'!H36*School!$C$23+'Regresson List_SS'!I36*School!$C$23^2,=P89-School!$F$35,=1-(Q89/P89),Y,,=U86,=V86,,=U89*School!$F$18,=X89/12000,=V89*School!$F$27,=Z89/12000,=Y89-AA89,Y,,,,=AG90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,SS,FCU,Natural Gas,,,"=CONCATENATE(A90,B90,C90,D90,E90,F90,H90)",0,=K84,='Regresson List_SS'!G11+'Regresson List_SS'!H11*School!$C$23+'Regresson List_SS'!I11*School!$C$23^2,,Y,,=P89,=P90-School!$F$35,=1-(Q90/P90),Y,,=U87,=V87,,=U90*School!$F$18,=X90/12000,=V90*School!$F$27,=Z90/12000,=Y90-AA90,Y,,,,=AG91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,SS,FCU,Natural Gas,,,"=CONCATENATE(A91,B91,C91,D91,E91,F91,H91)",0,=K85,='Regresson List_SS'!G12+'Regresson List_SS'!H12*School!$C$23+'Regresson List_SS'!I12*School!$C$23^2,,Y,,='Regresson List_SS'!G37+'Regresson List_SS'!H37*School!$C$23+'Regresson List_SS'!I37*School!$C$23^2,=P91-School!$F$35,=1-(Q91/P91),Y,,=U88,=V88,,=U91*School!$F$18,=X91/12000,=V91*School!$F$27,=Z91/12000,=Y91-AA91,Y,,,,=AG85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,SS,VAV,Natural Gas,,,"=CONCATENATE(A92,B92,C92,D92,E92,F92,H92)",0,=K86,='Regresson List_SS'!G13+'Regresson List_SS'!H13*School!$C$23+'Regresson List_SS'!I13*School!$C$23^2,,Y,,='Regresson List_SS'!G32+'Regresson List_SS'!H32*School!$C$23+'Regresson List_SS'!I32*School!$C$23^2,=P92-School!$F$35,=1-(Q92/P92),Y,,=U89,=V89,,=U92*School!$F$18,=X92/12000,=V92*School!$F$27,=Z92/12000,=Y92-AA92,Y,,,,=AG93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,SS,VAV,Natural Gas,,,"=CONCATENATE(A93,B93,C93,D93,E93,F93,H93)",0,=K87,='Regresson List_SS'!G14+'Regresson List_SS'!H14*School!$C$23+'Regresson List_SS'!I14*School!$C$23^2,,Y,,=P92,=P93-School!$F$35,=1-(Q93/P93),Y,,=U90,=V90,,=U93*School!$F$18,=X93/12000,=V93*School!$F$27,=Z93/12000,=Y93-AA93,Y,,,,=AG94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,SS,VAV,Natural Gas,,,"=CONCATENATE(A94,B94,C94,D94,E94,F94,H94)",0,=K88,='Regresson List_SS'!G15+'Regresson List_SS'!H15*School!$C$23+'Regresson List_SS'!I15*School!$C$23^2,,Y,,='Regresson List_SS'!G33+'Regresson List_SS'!H33*School!$C$23+'Regresson List_SS'!I33*School!$C$23^2,=P94-School!$F$35,=1-(Q94/P94),Y,,=U91,=V91,,=U94*School!$F$18,=X94/12000,=V94*School!$F$27,=Z94/12000,=Y94-AA94,Y,,,,='Regresson List_SS'!$D$40+'Regresson List_SS'!$E$40*School!$C$24+'Regresson List_SS'!$F$40*School!$C$24^2+'Regresson List_SS'!$G$40*School!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,Hosp,VAV,Electric,,,"=CONCATENATE(A95,B95,C95,D95,E95,F95)",=('Regresson List_Hosp'!G4+'Regresson List_Hosp'!H4*Hospital!$C$23+'Regresson List_Hosp'!I4*Hospital!$C$23^2),=('Regresson List_Hosp'!J4+'Regresson List_Hosp'!K4*Hospital!$C$24+'Regresson List_Hosp'!L4*Hospital!$C$24^2),0,,Y,,='Regresson List_Hosp'!$G$22+'Regresson List_Hosp'!$H$22*Hospital!$C$23+'Regresson List_Hosp'!$I$22*Hospital!$C$23^2,=P95-Hospital!$F$35,=1-(Q95/P95),Y,,='Regresson List_Hosp'!$G$14+'Regresson List_Hosp'!$H$14*Hospital!$C$24+'Regresson List_Hosp'!$I$14*Hospital!$C$24^2,=('Regresson List_Hosp'!$J$14+'Regresson List_Hosp'!$K$14*Hospital!$C$24+'Regresson List_Hosp'!$L$14*Hospital!$C$24^2),,=U95*Hospital!$F$18,=X95/12000,=V95*Hospital!$F$27,=Z95/12000,=Y95-AA95,Y,,,,=AG96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,Hosp,VAV,Electric,,,"=CONCATENATE(A96,B96,C96,D96,E96,F96)",=('Regresson List_Hosp'!G5+'Regresson List_Hosp'!H5*Hospital!$C$23+'Regresson List_Hosp'!I5*Hospital!$C$23^2),=('Regresson List_Hosp'!J5+'Regresson List_Hosp'!K5*Hospital!$C$24+'Regresson List_Hosp'!L5*Hospital!$C$24^2),0,,Y,,='Regresson List_Hosp'!$G$22+'Regresson List_Hosp'!$H$22*Hospital!$C$23+'Regresson List_Hosp'!$I$22*Hospital!$C$23^2,=P96-Hospital!$F$35,=1-(Q96/P96),Y,,='Regresson List_Hosp'!$G$15+'Regresson List_Hosp'!$H$15*Hospital!$C$24+'Regresson List_Hosp'!$I$15*Hospital!$C$24^2,=('Regresson List_Hosp'!$J$15+'Regresson List_Hosp'!$K$15*Hospital!$C$24+'Regresson List_Hosp'!$L$15*Hospital!$C$24^2),,=U96*Hospital!$F$18,=X96/12000,=V96*Hospital!$F$27,=Z96/12000,=Y96-AA96,Y,,,,=AG97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,Hosp,VAV,Electric,,,"=CONCATENATE(A97,B97,C97,D97,E97,F97)",=('Regresson List_Hosp'!G6+'Regresson List_Hosp'!H6*Hospital!$C$23+'Regresson List_Hosp'!I6*Hospital!$C$23^2),=('Regresson List_Hosp'!J6+'Regresson List_Hosp'!K6*Hospital!$C$24+'Regresson List_Hosp'!L6*Hospital!$C$24^2),0,,Y,,='Regresson List_Hosp'!$G$22+'Regresson List_Hosp'!$H$22*Hospital!$C$23+'Regresson List_Hosp'!$I$22*Hospital!$C$23^2,=P97-Hospital!$F$35,=1-(Q97/P97),Y,,='Regresson List_Hosp'!$G$16+'Regresson List_Hosp'!$H$16*Hospital!$C$24+'Regresson List_Hosp'!$I$16*Hospital!$C$24^2,=('Regresson List_Hosp'!$J$16+'Regresson List_Hosp'!$K$16*Hospital!$C$24+'Regresson List_Hosp'!$L$16*Hospital!$C$24^2),,=U97*Hospital!$F$18,=X97/12000,=V97*Hospital!$F$27,=Z97/12000,=Y97-AA97,Y,,,,=AG98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,Hosp,VAV,Natural Gas,,,"=CONCATENATE(A98,B98,C98,D98,E98,F98)",0,=('Regresson List_Hosp'!J7+'Regresson List_Hosp'!K7*Hospital!$C$24+'Regresson List_Hosp'!L7*Hospital!$C$24^2),=('Regresson List_Hosp'!G7+'Regresson List_Hosp'!H7*School!$C$23+'Regresson List_Hosp'!I7*School!$C$23^2),,Y,,='Regresson List_Hosp'!$G$23+'Regresson List_Hosp'!$H$23*Hospital!$C$23+'Regresson List_Hosp'!$I$23*Hospital!$C$23^2,=P98-Hospital!$F$35,=1-(Q98/P98),Y,,='Regresson List_Hosp'!$G$14+'Regresson List_Hosp'!$H$14*Hospital!$C$24+'Regresson List_Hosp'!$I$14*Hospital!$C$24^2,=('Regresson List_Hosp'!$J$14+'Regresson List_Hosp'!$K$14*Hospital!$C$24+'Regresson List_Hosp'!$L$14*Hospital!$C$24^2),,=U98*Hospital!$F$18,=X98/12000,=V98*Hospital!$F$27,=Z98/12000,=Y98-AA98,Y,,,,=AG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,Hosp,VAV,Natural Gas,,,"=CONCATENATE(A99,B99,C99,D99,E99,F99)",0,=('Regresson List_Hosp'!J8+'Regresson List_Hosp'!K8*Hospital!$C$24+'Regresson List_Hosp'!L8*Hospital!$C$24^2),=('Regresson List_Hosp'!G8+'Regresson List_Hosp'!H8*School!$C$23+'Regresson List_Hosp'!I8*School!$C$23^2),,Y,,='Regresson List_Hosp'!$G$23+'Regresson List_Hosp'!$H$23*Hospital!$C$23+'Regresson List_Hosp'!$I$23*Hospital!$C$23^2,=P99-Hospital!$F$35,=1-(Q99/P99),Y,,='Regresson List_Hosp'!$G$15+'Regresson List_Hosp'!$H$15*Hospital!$C$24+'Regresson List_Hosp'!$I$15*Hospital!$C$24^2,=('Regresson List_Hosp'!$J$15+'Regresson List_Hosp'!$K$15*Hospital!$C$24+'Regresson List_Hosp'!$L$15*Hospital!$C$24^2),,=U99*Hospital!$F$18,=X99/12000,=V99*Hospital!$F$27,=Z99/12000,=Y99-AA99,Y,,,,=AG100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,Hosp,VAV,Natural Gas,,,"=CONCATENATE(A100,B100,C100,D100,E100,F100)",0,=('Regresson List_Hosp'!J9+'Regresson List_Hosp'!K9*Hospital!$C$24+'Regresson List_Hosp'!L9*Hospital!$C$24^2),=('Regresson List_Hosp'!G9+'Regresson List_Hosp'!H9*School!$C$23+'Regresson List_Hosp'!I9*School!$C$23^2),,Y,,='Regresson List_Hosp'!$G$23+'Regresson List_Hosp'!$H$23*Hospital!$C$23+'Regresson List_Hosp'!$I$23*Hospital!$C$23^2,=P100-Hospital!$F$35,=1-(Q100/P100),Y,,='Regresson List_Hosp'!$G$16+'Regresson List_Hosp'!$H$16*Hospital!$C$24+'Regresson List_Hosp'!$I$16*Hospital!$C$24^2,=('Regresson List_Hosp'!$J$16+'Regresson List_Hosp'!$K$16*Hospital!$C$24+'Regresson List_Hosp'!$L$16*Hospital!$C$24^2),,=U100*Hospital!$F$18,=X100/12000,=V100*Hospital!$F$27,=Z100/12000,=Y100-AA100,Y,,,,='Regresson List_Hosp'!$D$27+'Regresson List_Hosp'!$E$27*Hospital!$C$24+'Regresson List_Hosp'!$F$27*Hospital!$C$24^2+'Regresson List_Hosp'!$G$27*Hospital!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Low,MF,PTAC,Electric,,,"=CONCATENATE(A101,B101,C101,D101,E101,F101)",=('Regresson List_MF'!H4+'Regresson List_MF'!I4*'Multi-family'!$C$23+'Regresson List_MF'!J4*'Multi-family'!$C$23^2),=('Regresson List_MF'!K4+'Regresson List_MF'!L4*'Multi-family'!$C$24+'Regresson List_MF'!M4*'Multi-family'!$C$24^2),0,,Y,,='Regresson List_MF'!$H$27+'Regresson List_MF'!$I$27*'Multi-family'!C23+'Regresson List_MF'!$J$27*'Multi-family'!C23^2,=P101-'Multi-family'!$F$36,=1-(Q101/P101),Y,,='Regresson List_MF'!$G$17+'Regresson List_MF'!$H$17*'Multi-family'!$C$24+'Regresson List_MF'!$I$17*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$17+'Regresson List_MF'!$K$17*'Multi-family'!$C$24+'Regresson List_MF'!$L$17*'Multi-family'!$C$24^2),,=U101*'Multi-family'!$F$18,=X101/12000,=V101*'Multi-family'!$F$28,=Z101/12000,=Y101-AA101,Y,,='Regresson List_MF'!H37+'Regresson List_MF'!I37*'Multi-family'!$C$23+'Regresson List_MF'!J37*'Multi-family'!$C$23^2+'Regresson List_MF'!K37*'Multi-family'!$C$23^3,='Regresson List_MF'!H50+'Regresson List_MF'!I50*'Multi-family'!$C$24+'Regresson List_MF'!J50*'Multi-family'!$C$24^2+'Regresson List_MF'!K50*'Multi-family'!$C$24^3,=AG102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Low,MF,PTAC,Electric,,,"=CONCATENATE(A102,B102,C102,D102,E102,F102)",=('Regresson List_MF'!H5+'Regresson List_MF'!I5*'Multi-family'!$C$23+'Regresson List_MF'!J5*'Multi-family'!$C$23^2),=('Regresson List_MF'!K5+'Regresson List_MF'!L5*'Multi-family'!$C$24+'Regresson List_MF'!M5*'Multi-family'!$C$24^2),0,,Y,,='Regresson List_MF'!$H$27+'Regresson List_MF'!$I$27*'Multi-family'!C24+'Regresson List_MF'!$J$27*'Multi-family'!C24^2,=P102-'Multi-family'!$F$36,=1-(Q102/P102),Y,,='Regresson List_MF'!$G$18+'Regresson List_MF'!$H$18*'Multi-family'!$C$24+'Regresson List_MF'!$I$18*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$18+'Regresson List_MF'!$K$18*'Multi-family'!$C$24+'Regresson List_MF'!$L$18*'Multi-family'!$C$24^2),,=U102*'Multi-family'!$F$18,=X102/12000,=V102*'Multi-family'!$F$28,=Z102/12000,=Y102-AA102,Y,,='Regresson List_MF'!H38+'Regresson List_MF'!I38*'Multi-family'!$C$23+'Regresson List_MF'!J38*'Multi-family'!$C$23^2+'Regresson List_MF'!K38*'Multi-family'!$C$23^3,='Regresson List_MF'!H51+'Regresson List_MF'!I51*'Multi-family'!$C$24+'Regresson List_MF'!J51*'Multi-family'!$C$24^2+'Regresson List_MF'!K51*'Multi-family'!$C$24^3,=AG103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Low,MF,PTAC,Electric,,,"=CONCATENATE(A103,B103,C103,D103,E103,F103)",=('Regresson List_MF'!H6+'Regresson List_MF'!I6*'Multi-family'!$C$23+'Regresson List_MF'!J6*'Multi-family'!$C$23^2),=('Regresson List_MF'!K6+'Regresson List_MF'!L6*'Multi-family'!$C$24+'Regresson List_MF'!M6*'Multi-family'!$C$24^2),0,,Y,,='Regresson List_MF'!$H$28+'Regresson List_MF'!$I$28*'Multi-family'!C25+'Regresson List_MF'!$J$28*'Multi-family'!C25^2,=P103-'Multi-family'!$F$36,=1-(Q103/P103),Y,,='Regresson List_MF'!$G$19+'Regresson List_MF'!$H$19*'Multi-family'!$C$24+'Regresson List_MF'!$I$19*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$19+'Regresson List_MF'!$K$19*'Multi-family'!$C$24+'Regresson List_MF'!$L$19*'Multi-family'!$C$24^2),,=U103*'Multi-family'!$F$18,=X103/12000,=V103*'Multi-family'!$F$28,=Z103/12000,=Y103-AA103,Y,,='Regresson List_MF'!H39+'Regresson List_MF'!I39*'Multi-family'!$C$23+'Regresson List_MF'!J39*'Multi-family'!$C$23^2+'Regresson List_MF'!K39*'Multi-family'!$C$23^3,='Regresson List_MF'!H52+'Regresson List_MF'!I52*'Multi-family'!$C$24+'Regresson List_MF'!J52*'Multi-family'!$C$24^2+'Regresson List_MF'!K52*'Multi-family'!$C$24^3,='Regresson List_MF'!$H$62+'Regresson List_MF'!$I$62*'Multi-family'!$C$24+'Regresson List_MF'!$J$62*'Multi-family'!$C$24^2+'Regresson List_MF'!$K$62*'Multi-family'!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,MF,FCU,Electric,,,"=CONCATENATE(A104,B104,C104,D104,E104,F104)",=('Regresson List_MF'!H7+'Regresson List_MF'!I7*'Multi-family'!$C$23+'Regresson List_MF'!J7*'Multi-family'!$C$23^2),=('Regresson List_MF'!K7+'Regresson List_MF'!L7*'Multi-family'!$C$24+'Regresson List_MF'!M7*'Multi-family'!$C$24^2),0,,Y,,='Regresson List_MF'!$H$29+'Regresson List_MF'!$I$29*'Multi-family'!$C$23+'Regresson List_MF'!$J$29*'Multi-family'!$C$23^2,=P104-'Multi-family'!$F$36,=1-(Q104/P104),Y,,='Regresson List_MF'!$G$20+'Regresson List_MF'!$H$20*'Multi-family'!$C$24+'Regresson List_MF'!$I$20*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$20+'Regresson List_MF'!$K$20*'Multi-family'!$C$24+'Regresson List_MF'!$L$20*'Multi-family'!$C$24^2),,=U104*'Multi-family'!$F$18,=X104/12000,=V104*'Multi-family'!$F$28,=Z104/12000,=Y104-AA104,Y,,='Regresson List_MF'!H40+'Regresson List_MF'!I40*'Multi-family'!$C$23+'Regresson List_MF'!J40*'Multi-family'!$C$23^2+'Regresson List_MF'!K40*'Multi-family'!$C$23^3,='Regresson List_MF'!H53+'Regresson List_MF'!I53*'Multi-family'!$C$24+'Regresson List_MF'!J53*'Multi-family'!$C$24^2+'Regresson List_MF'!K53*'Multi-family'!$C$24^3,=AG105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,MF,FCU,Electric,,,"=CONCATENATE(A105,B105,C105,D105,E105,F105)",=('Regresson List_MF'!H8+'Regresson List_MF'!I8*'Multi-family'!$C$23+'Regresson List_MF'!J8*'Multi-family'!$C$23^2),=('Regresson List_MF'!K8+'Regresson List_MF'!L8*'Multi-family'!$C$24+'Regresson List_MF'!M8*'Multi-family'!$C$24^2),0,,Y,,='Regresson List_MF'!$H$29+'Regresson List_MF'!$I$29*'Multi-family'!$C$23+'Regresson List_MF'!$J$29*'Multi-family'!$C$23^2,=P105-'Multi-family'!$F$36,=1-(Q105/P105),Y,,='Regresson List_MF'!$G$21+'Regresson List_MF'!$H$21*'Multi-family'!$C$24+'Regresson List_MF'!$I$21*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$21+'Regresson List_MF'!$K$21*'Multi-family'!$C$24+'Regresson List_MF'!$L$21*'Multi-family'!$C$24^2),,=U105*'Multi-family'!$F$18,=X105/12000,=V105*'Multi-family'!$F$28,=Z105/12000,=Y105-AA105,Y,,='Regresson List_MF'!H41+'Regresson List_MF'!I41*'Multi-family'!$C$23+'Regresson List_MF'!J41*'Multi-family'!$C$23^2+'Regresson List_MF'!K41*'Multi-family'!$C$23^3,='Regresson List_MF'!H54+'Regresson List_MF'!I54*'Multi-family'!$C$24+'Regresson List_MF'!J54*'Multi-family'!$C$24^2+'Regresson List_MF'!K54*'Multi-family'!$C$24^3,=AG106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,MF,FCU,Electric,,,"=CONCATENATE(A106,B106,C106,D106,E106,F106)",=('Regresson List_MF'!H9+'Regresson List_MF'!I9*'Multi-family'!$C$23+'Regresson List_MF'!J9*'Multi-family'!$C$23^2),=('Regresson List_MF'!K9+'Regresson List_MF'!L9*'Multi-family'!$C$24+'Regresson List_MF'!M9*'Multi-family'!$C$24^2),0,,Y,,='Regresson List_MF'!$H$30+'Regresson List_MF'!$I$30*'Multi-family'!$C$23+'Regresson List_MF'!$J$30*'Multi-family'!$C$23^2,=P106-'Multi-family'!$F$36,=1-(Q106/P106),Y,,='Regresson List_MF'!$G$22+'Regresson List_MF'!$H$22*'Multi-family'!$C$24+'Regresson List_MF'!$I$22*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$22+'Regresson List_MF'!$K$22*'Multi-family'!$C$24+'Regresson List_MF'!$L$22*'Multi-family'!$C$24^2),,=U106*'Multi-family'!$F$18,=X106/12000,=V106*'Multi-family'!$F$28,=Z106/12000,=Y106-AA106,Y,,='Regresson List_MF'!H42+'Regresson List_MF'!I42*'Multi-family'!$C$23+'Regresson List_MF'!J42*'Multi-family'!$C$23^2+'Regresson List_MF'!K42*'Multi-family'!$C$23^3,='Regresson List_MF'!H55+'Regresson List_MF'!I55*'Multi-family'!$C$24+'Regresson List_MF'!J55*'Multi-family'!$C$24^2+'Regresson List_MF'!K55*'Multi-family'!$C$24^3,=AG107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,MF,FCU,Natural Gas,,,"=CONCATENATE(A107,B107,C107,D107,E107,F107)",0,=('Regresson List_MF'!K10+'Regresson List_MF'!L10*'Multi-family'!$C$24+'Regresson List_MF'!M10*'Multi-family'!$C$24^2),='Regresson List_MF'!H10+'Regresson List_MF'!I10*'Multi-family'!$C$23+'Regresson List_MF'!J10*'Multi-family'!$C$23^2,,Y,,='Regresson List_MF'!$H$31+'Regresson List_MF'!$I$31*'Multi-family'!$C$23+'Regresson List_MF'!$J$31*'Multi-family'!$C$23^2,=P107-'Multi-family'!$F$36,=1-(Q107/P107),Y,,='Regresson List_MF'!$G$20+'Regresson List_MF'!$H$20*'Multi-family'!$C$24+'Regresson List_MF'!$I$20*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$20+'Regresson List_MF'!$K$20*'Multi-family'!$C$24+'Regresson List_MF'!$L$20*'Multi-family'!$C$24^2),,=U107*'Multi-family'!$F$18,=X107/12000,=V107*'Multi-family'!$F$28,=Z107/12000,=Y107-AA107,Y,,='Regresson List_MF'!H43+'Regresson List_MF'!I43*'Multi-family'!$C$23+'Regresson List_MF'!J43*'Multi-family'!$C$23^2+'Regresson List_MF'!K43*'Multi-family'!$C$23^3,='Regresson List_MF'!H56+'Regresson List_MF'!I56*'Multi-family'!$C$24+'Regresson List_MF'!J56*'Multi-family'!$C$24^2+'Regresson List_MF'!K56*'Multi-family'!$C$24^3,=AG108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,MF,FCU,Natural Gas,,,"=CONCATENATE(A108,B108,C108,D108,E108,F108)",0,=('Regresson List_MF'!K11+'Regresson List_MF'!L11*'Multi-family'!$C$24+'Regresson List_MF'!M11*'Multi-family'!$C$24^2),='Regresson List_MF'!H11+'Regresson List_MF'!I11*'Multi-family'!$C$23+'Regresson List_MF'!J11*'Multi-family'!$C$23^2,,Y,,='Regresson List_MF'!$H$31+'Regresson List_MF'!$I$31*'Multi-family'!$C$23+'Regresson List_MF'!$J$31*'Multi-family'!$C$23^2,=P108-'Multi-family'!$F$36,=1-(Q108/P108),Y,,='Regresson List_MF'!$G$21+'Regresson List_MF'!$H$21*'Multi-family'!$C$24+'Regresson List_MF'!$I$21*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$21+'Regresson List_MF'!$K$21*'Multi-family'!$C$24+'Regresson List_MF'!$L$21*'Multi-family'!$C$24^2),,=U108*'Multi-family'!$F$18,=X108/12000,=V108*'Multi-family'!$F$28,=Z108/12000,=Y108-AA108,Y,,='Regresson List_MF'!H44+'Regresson List_MF'!I44*'Multi-family'!$C$23+'Regresson List_MF'!J44*'Multi-family'!$C$23^2+'Regresson List_MF'!K44*'Multi-family'!$C$23^3,='Regresson List_MF'!H57+'Regresson List_MF'!I57*'Multi-family'!$C$24+'Regresson List_MF'!J57*'Multi-family'!$C$24^2+'Regresson List_MF'!K57*'Multi-family'!$C$24^3,=AG109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,MF,FCU,Natural Gas,,,"=CONCATENATE(A109,B109,C109,D109,E109,F109)",0,=('Regresson List_MF'!K12+'Regresson List_MF'!L12*'Multi-family'!$C$24+'Regresson List_MF'!M12*'Multi-family'!$C$24^2),='Regresson List_MF'!H12+'Regresson List_MF'!I12*'Multi-family'!$C$23+'Regresson List_MF'!J12*'Multi-family'!$C$23^2,,Y,,='Regresson List_MF'!$H$32+'Regresson List_MF'!$I$32*'Multi-family'!$C$23+'Regresson List_MF'!$J$32*'Multi-family'!$C$23^2,=P109-'Multi-family'!$F$36,=1-(Q109/P109),Y,,='Regresson List_MF'!$G$22+'Regresson List_MF'!$H$22*'Multi-family'!$C$24+'Regresson List_MF'!$I$22*'Multi-family'!$C$24^2,=('Regresson List_MF'!$J$22+'Regresson List_MF'!$K$22*'Multi-family'!$C$24+'Regresson List_MF'!$L$22*'Multi-family'!$C$24^2),,=U109*'Multi-family'!$F$18,=X109/12000,=V109*'Multi-family'!$F$28,=Z109/12000,=Y109-AA109,Y,,='Regresson List_MF'!H45+'Regresson List_MF'!I45*'Multi-family'!$C$23+'Regresson List_MF'!J45*'Multi-family'!$C$23^2+'Regresson List_MF'!K45*'Multi-family'!$C$23^3,='Regresson List_MF'!H58+'Regresson List_MF'!I58*'Multi-family'!$C$24+'Regresson List_MF'!J58*'Multi-family'!$C$24^2+'Regresson List_MF'!K58*'Multi-family'!$C$24^3,='Regresson List_MF'!$H$61+'Regresson List_MF'!$I$61*'Multi-family'!$C$24+'Regresson List_MF'!$J$61*'Multi-family'!$C$24^2+'Regresson List_MF'!$K$61*'Multi-family'!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
